AOI_Xleft,AOI_Xright,AOI_Ybottom,AOI_Ytop,AOI_h,AOI_w,CON_x_left,CON_x_right,CON_y_bottom,CON_y_top,INCON_x_left,INCON_x_right,INCON_y_bottom,INCON_y_top,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond1,cond2,condition,coordinates,correct,correct_instructions,count_counterbalance,count_end_of_experiment,count_experiment,count_feedback,count_give_feedback,count_instructions,count_key_response,count_logger,count_prepare_show_screen,count_pygaze_drift_correct,count_pygaze_init,count_pygaze_log,count_pygaze_start_recording,count_pygaze_stop_recording,count_screenshot,count_show_aoi,count_trial_loop,count_trial_sequence,count_visual_cue,datetime,description,disable_garbage_collection,driftX,driftY,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaze_response,height,keyboard_backend,live_row,live_row_trial_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_instructions,response_time,response_time_end_of_experiment,response_time_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim_id,stimulus,subject_nr,subject_parity,target,time_counterbalance,time_end_of_experiment,time_experiment,time_feedback,time_give_feedback,time_instructions,time_key_response,time_logger,time_prepare_show_screen,time_pygaze_drift_correct,time_pygaze_init,time_pygaze_log,time_pygaze_start_recording,time_pygaze_stop_recording,time_screenshot,time_show_aoi,time_trial_loop,time_trial_sequence,time_visual_cue,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,x,y
136,265,-19,-160,141,129,264,393,585,436,648,777,365,224,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond1],relative,undefined,undefined,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,NA,1050,legacy,0,0,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,3039,NA,32719,2,legacy,1024,2,48000,-16,experiment,6,C_20INCON,4,even,egg,697,NA,696,NA,NA,700,60297,63621,60204,55969,33419,63373,60204,63339,NA,NA,55835,55969,59454,EyeTribe Visual Search Experiment,0,0,0,yes,1680,191.2142,-77.5748
-203,-111,-43,-125,82,92,625,743,532,423,309,401,341,259,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond1],relative,1,undefined,0,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,1,1,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,850,NA,32719,2,legacy,1024,2,48000,-16,experiment,4,C_120INCON,4,even,tire,697,NA,696,NA,64939,700,68239,69355,68149,65853,33419,69110,68148,69090,64151,63651,55835,65853,67397,EyeTribe Visual Search Experiment,0,0,0,yes,1680,212.6575,101.951
-252,-113,124,-11,135,139,260,399,508,373,620,769,380,260,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond2],relative,0,undefined,0,0,0,NA,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,2,2,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1369,NA,32719,2,legacy,1024,2,48000,-16,experiment,8,C_4CON,4,even,brush,697,NA,696,NA,70431,700,73600,75239,73508,71346,33419,74992,73508,74970,69876,69376,55835,71346,72757,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-193.6254,39.0057
-206,-94,-72,-151,79,112,613,728,553,470,306,418,312,233,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond1],relative,1,undefined,0,0,0,NA,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,3,3,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1199,NA,32719,2,legacy,1024,2,48000,-16,experiment,1,C_92INCON,4,even,electric iron,697,NA,696,NA,76272,700,79801,81261,79708,77189,33419,81016,79708,81002,75758,75258,55835,77189,78957,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-156.4822,-96.9331
106,277,98,-19,117,171,618,789,482,365,299,409,374,286,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond2],relative,1,undefined,0,0,0,NA,4,0,4,4,4,4,0,4,4,4,4,4,0,4,4,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,4,4,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1525,NA,32719,2,legacy,1024,2,48000,-16,experiment,2,C_104CON,4,even,belt,697,NA,696,NA,82632,700,84891,86683,84804,83539,33419,86436,84803,86418,81780,81280,55835,83539,84053,EyeTribe Visual Search Experiment,0,0,0,yes,1680,192.7156,42.3456
23,126,-88,-160,72,103,535,638,296,224,340,420,567,413,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond2],relative,1,undefined,0,0,0,NA,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,5,5,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1100,NA,32719,2,legacy,1024,2,48000,-16,experiment,3,C_10CON,4,even,bread knife,697,NA,696,NA,88007,700,90148,91507,90059,88919,33419,91261,90059,91251,87201,86701,55835,88918,89309,EyeTribe Visual Search Experiment,0,0,0,yes,1680,23.4229,-116.115
146,254,110,-44,154,108,259,351,414,260,658,766,494,340,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond1],relative,1,undefined,0,0,0,NA,6,0,6,6,6,6,0,6,6,6,6,6,0,6,6,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,6,6,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,3198,NA,32719,2,legacy,1024,2,48000,-16,experiment,10,C_68INCON,4,even,dish soap,697,NA,696,NA,92796,700,95290,98744,95195,93714,33419,98499,95195,98491,92033,91533,55835,93714,94445,EyeTribe Visual Search Experiment,0,0,0,yes,1680,211.1104,33.7694
142,243,-21,-184,163,101,654,755,363,200,279,377,520,379,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond2],relative,1,undefined,0,0,0,NA,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,7,7,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1305,NA,32719,2,legacy,1024,2,48000,-16,experiment,9,C_62CON,4,even,shampoo,697,NA,696,NA,100093,700,102263,103850,102164,101013,33419,103603,102163,103570,99282,98782,55835,101012,101413,EyeTribe Visual Search Experiment,0,0,0,yes,1680,164.8062,80.2173
115,238,184,54,130,123,266,382,349,204,627,750,568,438,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond1],relative,0,undefined,0,0,0,NA,8,0,8,8,8,8,0,8,8,8,8,8,0,8,8,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,8,8,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1674,NA,32719,2,legacy,1024,2,48000,-16,experiment,7,C_43INCON,4,even,clock,697,NA,696,NA,105064,700,108678,110632,108588,105979,33419,110384,108587,110354,104368,103868,55835,105978,107837,EyeTribe Visual Search Experiment,0,0,0,yes,1680,190.2417,123.5096
58,188,184,72,112,130,570,700,568,456,323,500,311,219,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,[cond2],relative,1,undefined,0,0,0,NA,9,0,9,9,9,9,0,9,9,9,9,9,0,9,9,12/18/2018 13:23,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,9,9,C:/Users/Admin/Desktop/Dejan/Jones.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1168,NA,32719,2,legacy,1024,2,48000,-16,experiment,5,C_12CON,4,even,dish scrubber,697,NA,696,NA,111906,700,114807,116244,114716,112822,33419,115999,114715,115978,111150,110650,55835,112821,113965,EyeTribe Visual Search Experiment,0,0,0,yes,1680,132.7258,128.3273
